CoF,Random Forest,KNN,SVR,Kernel Ridge Regression,Deep Network,Average
1,41.0,39.166666666666664,39.166666666666664,38.333333333333336,39.333333333333336,39.4
2,41.0,38.166666666666664,39.5,38.666666666666664,39.166666666666664,39.3
3,40.166666666666664,38.666666666666664,39.166666666666664,38.833333333333336,39.333333333333336,39.233333333333334
4,39.833333333333336,36.5,39.166666666666664,38.833333333333336,38.0,38.46666666666667
