A,B,C,D,E,F,Apop,Cpop,Total users,Temperature,Conditions,Time index
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,8
0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,15.333333333333334,3.0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.666666666666666,3.0,11
0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,15.0,3.0,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.333333333333334,3.0,13
0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,16.333333333333332,3.0,14
0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,17.333333333333332,3.0,15
0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,18.0,3.0,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.333333333333332,2.6666666666666665,17
0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,19.333333333333332,2.3333333333333335,18
0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,20.333333333333332,3.0,19
0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,21.333333333333332,2.6666666666666665,20
0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,22.0,2.0,21
0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,1.0,22.333333333333332,2.3333333333333335,22
0.0,0.5,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,1.3333333333333333,23.333333333333332,2.6666666666666665,23
0.0,0.5,0.6666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,1.3333333333333333,24.333333333333332,2.0,24
0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.5,25.333333333333332,2.0,25
0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,26.0,2.0,26
0.0,0.16666666666666666,0.3333333333333333,0.0,1.1666666666666667,0.5,0.0,0.0,2.1666666666666665,26.0,2.0,27
0.0,1.8333333333333333,0.3333333333333333,0.0,1.0,1.3333333333333333,0.0,0.0,4.5,26.333333333333332,2.0,28
0.16666666666666666,5.833333333333333,0.8333333333333334,0.5,0.6666666666666666,1.8333333333333333,0.0,0.0,9.833333333333334,27.0,2.0,29
2.1666666666666665,3.0,6.666666666666667,4.0,3.0,3.0,0.0,0.0,21.833333333333332,27.333333333333332,2.0,30
3.0,2.6666666666666665,11.333333333333334,2.1666666666666665,2.0,3.3333333333333335,0.0,0.0,24.5,28.0,2.3333333333333335,31
2.8333333333333335,3.6666666666666665,12.333333333333334,3.5,3.6666666666666665,5.0,0.0,0.0,31.0,28.0,3.0,32
4.166666666666667,3.6666666666666665,11.666666666666666,3.6666666666666665,4.0,3.3333333333333335,0.0,0.0,30.5,28.333333333333332,2.6666666666666665,33
5.0,3.8333333333333335,14.666666666666666,5.333333333333333,3.6666666666666665,3.5,0.0,0.14673808138630887,36.0,29.0,2.3333333333333335,34
2.0,2.5,15.833333333333334,1.5,3.1666666666666665,3.0,0.09501101875315852,0.8804284883178531,28.0,29.0,3.0,35
3.0,3.6666666666666665,16.833333333333332,5.5,4.333333333333333,3.1666666666666665,0.5700661125189511,0.8804284883178531,36.5,29.0,3.0,36
1.0,4.5,20.0,6.5,4.333333333333333,2.5,0.5700661125189511,0.8804284883178531,38.833333333333336,28.666666666666668,3.0,37
2.5,3.0,15.5,3.1666666666666665,3.8333333333333335,1.8333333333333333,0.5700661125189511,0.828704089085118,29.833333333333332,28.0,2.3333333333333335,38
2.5,0.8333333333333334,16.0,3.0,3.3333333333333335,1.5,0.5709316399139578,0.8183592092385709,27.166666666666668,27.666666666666668,1.3333333333333333,39
1.5,1.1666666666666667,15.0,5.166666666666667,2.6666666666666665,2.8333333333333335,0.5752592768889914,0.8183592092385709,28.333333333333332,27.0,1.3333333333333333,40
3.6666666666666665,3.0,11.333333333333334,2.1666666666666665,4.166666666666667,3.1666666666666665,0.5752592768889914,0.8259443208288416,27.5,26.333333333333332,0.0,41
2.0,1.6666666666666667,5.166666666666667,2.5,3.5,2.3333333333333335,0.8179291478658585,0.8638698787801952,17.166666666666668,23.0,0.3333333333333333,42
1.5,0.6666666666666666,4.5,0.5,1.3333333333333333,1.5,0.9392640833542919,0.8638698787801952,10.0,18.666666666666668,0.6666666666666666,43
0.16666666666666666,1.1666666666666667,2.8333333333333335,0.8333333333333334,1.3333333333333333,0.16666666666666666,0.9493867361285765,0.8638698787801952,6.5,18.0,0.0,44
0.16666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.0,0.16666666666666666,0.9999999999999999,0.5865136431302383,1.8333333333333333,18.0,0.0,45
0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.9999999999999999,0.9274722224408442,0.5,18.0,0.0,46
