Artist,Time,Buhne,Date,Timestamp,X,Y,Cluster
Jandee,23:00,DJ-Buhne,2018-07-20,2018-07-20 23:00:00,8.372187400000001,48.99948011,D
Electric Bush Project,13:00,Hauptbuhne,2018-07-21,2018-07-21 13:00:00,8.37376284,48.99776582,B
Modeste,13:50,Hauptbuhne,2018-07-21,2018-07-21 13:50:00,8.37376284,48.99776582,B
Airwood,14:50,Hauptbuhne,2018-07-21,2018-07-21 14:50:00,8.37376284,48.99776582,B
Gurr,16:00,Hauptbuhne,2018-07-21,2018-07-21 16:00:00,8.37376284,48.99776582,B
Lucky Chops,17:30,Hauptbuhne,2018-07-21,2018-07-21 17:30:00,8.37376284,48.99776582,B
Gloria,19:00,Hauptbuhne,2018-07-21,2018-07-21 19:00:00,8.37376284,48.99776582,B
Marteria,21:00,Hauptbuhne,2018-07-21,2018-07-21 21:00:00,8.37376284,48.99776582,B
Losamol,23:00,Hauptbuhne,2018-07-21,2018-07-21 23:00:00,8.37376284,48.99776582,B
Johnny und die 5. Dimension,13:30,Feldbuhne,2018-07-21,2018-07-21 13:30:00,8.37221654,49.00138549,D
Transporter ,14:45,Feldbuhne,2018-07-21,2018-07-21 14:45:00,8.37221654,49.00138549,D
Sorry For Escalating,16:00,Feldbuhne,2018-07-21,2018-07-21 16:00:00,8.37221654,49.00138549,D
Sickboyz,17:15,Feldbuhne,2018-07-21,2018-07-21 17:15:00,8.37221654,49.00138549,D
Peter Kernel,18:30,Feldbuhne,2018-07-21,2018-07-21 18:30:00,8.37221654,49.00138549,D
Long Distance Calling,20:15,Feldbuhne,2018-07-21,2018-07-21 20:15:00,8.37221654,49.00138549,D
Miwata,22:30,Feldbuhne,2018-07-21,2018-07-21 22:30:00,8.37221654,49.00138549,D
Dojo Music,17:30,DJ-Buhne,2018-07-21,2018-07-21 17:30:00,8.372187400000001,48.99948011,D
Kollektiv B,19:30,DJ-Buhne,2018-07-21,2018-07-21 19:30:00,8.372187400000001,48.99948011,D
SoundofK,21:00,DJ-Buhne,2018-07-21,2018-07-21 21:00:00,8.372187400000001,48.99948011,D
Dj Soleimoon,22:00,DJ-Buhne,2018-07-21,2018-07-21 22:00:00,8.372187400000001,48.99948011,D
Chillah Dee,23:00,DJ-Buhne,2018-07-21,2018-07-21 23:00:00,8.372187400000001,48.99948011,D
Das Fest Klassikorchester,10:30,Hauptbuhne,2018-07-22,2018-07-22 10:30:00,8.37376284,48.99776582,B
Ibrahim Electric,15:00,Hauptbuhne,2018-07-22,2018-07-22 15:00:00,8.37376284,48.99776582,B
Tonbandgerat,16:20,Hauptbuhne,2018-07-22,2018-07-22 16:20:00,8.37376284,48.99776582,B
Bukahara,17:45,Hauptbuhne,2018-07-22,2018-07-22 17:45:00,8.37376284,48.99776582,B
Olli Schulz,19:15,Hauptbuhne,2018-07-22,2018-07-22 19:15:00,8.37376284,48.99776582,B
Simple Minds,21:00,Hauptbuhne,2018-07-22,2018-07-22 21:00:00,8.37376284,48.99776582,B
Soundtruck Rap Labor Showcase,12:00,Feldbuhne,2018-07-22,2018-07-22 12:00:00,8.37221654,49.00138549,D
Best of the show,13:00,Feldbuhne,2018-07-22,2018-07-22 13:00:00,8.37221654,49.00138549,D
The Silence,15:00,Feldbuhne,2018-07-22,2018-07-22 15:00:00,8.37221654,49.00138549,D
Jay Farmer,15:30,Feldbuhne,2018-07-22,2018-07-22 15:30:00,8.37221654,49.00138549,D
Karaoke show,16:30,Feldbuhne,2018-07-22,2018-07-22 16:30:00,8.37221654,49.00138549,D
Moodinies,18:30,Feldbuhne,2018-07-22,2018-07-22 18:30:00,8.37221654,49.00138549,D
Surma,19:45,Feldbuhne,2018-07-22,2018-07-22 19:45:00,8.37221654,49.00138549,D
Altın Gun,21:45,Feldbuhne,2018-07-22,2018-07-22 21:45:00,8.37221654,49.00138549,D
Konig Saatgut,15:30,DJ-Buhne,2018-07-22,2018-07-22 15:30:00,8.372187400000001,48.99948011,D
Thomas Hammann,19:00,DJ-Buhne,2018-07-22,2018-07-22 19:00:00,8.372187400000001,48.99948011,D
David Mayer,21:00,DJ-Buhne,2018-07-22,2018-07-22 21:00:00,8.372187400000001,48.99948011,D
