,A+time,A+time_pops,A+time_temp/cond,A+time_pops_temp/cond,B+time,B+time_pops,B+time_temp/cond,B+time_pops_temp/cond,C+time,C+time_pops,C+time_temp/cond,C+time_pops_temp/cond,D+time,D+time_pops,D+time_temp/cond,D+time_pops_temp/cond,E+time,E+time_pops,E+time_temp/cond,E+time_pops_temp/cond,F+time,F+time_pops,F+time_temp/cond,F+time_pops_temp/cond
mult_RF,0.612587412587,0.601538461538,0.618041958042,0.597482517483,0.353825174825,0.377832167832,0.327272727273,0.355384615385,0.265594405594,0.256993006993,0.262657342657,0.258041958042,0.437622377622,0.446013986014,0.434265734266,0.426713286713,0.426713286713,0.432167832168,0.433426573427,0.417482517483,0.353706293706,0.362517482517,0.348671328671,0.363776223776
mult_KNN,0.524475524476,0.524475524476,0.463216783217,0.474965034965,0.37006993007,0.351608391608,0.336503496503,0.32979020979,0.283636363636,0.281958041958,0.25006993007,0.247552447552,0.461538461538,0.473286713287,0.458181818182,0.44979020979,0.433846153846,0.424615384615,0.404475524476,0.398601398601,0.346573426573,0.346573426573,0.334825174825,0.333986013986
mult_SVR,0.699891235457,0.699230015324,0.721192031006,0.736585677176,0.392853678968,0.379364842898,0.367471037617,0.361436471611,0.263082697149,0.263590588161,0.278283237402,0.276370345442,0.474063287191,0.462191453718,0.474934510237,0.457654658676,0.407924540191,0.41211233961,0.393567696034,0.397240014162,0.377409642623,0.389717189654,0.381023703596,0.382018997032
mult_KR,0.55006771899,0.54140504933,0.58879827577,0.560173693973,0.382820754203,0.368811258523,0.360326061362,0.341053570621,0.278573422962,0.282357554092,0.285982478802,0.28591513154,0.514093439419,0.489125436436,0.47941744138,0.468242243361,0.439642045775,0.441833728737,0.405949347784,0.412774155352,0.387082992676,0.392856252617,0.395767331639,0.395312149737
