,A+time,A+time_pops,A+time_temp/cond,A+time_pops_temp/cond,B+time,B+time_pops,B+time_temp/cond,B+time_pops_temp/cond,C+time,C+time_pops,C+time_temp/cond,C+time_pops_temp/cond,D+time,D+time_pops,D+time_temp/cond,D+time_pops_temp/cond,E+time,E+time_pops,E+time_temp/cond,E+time_pops_temp/cond,F+time,F+time_pops,F+time_temp/cond,F+time_pops_temp/cond
mult_RF,0.638888888889,0.638888888889,0.611111111111,0.666666666667,0.680555555556,0.75,0.722222222222,0.680555555556,0.763888888889,0.777777777778,0.763888888889,0.75,0.722222222222,0.666666666667,0.736111111111,0.666666666667,0.680555555556,0.666666666667,0.611111111111,0.652777777778,0.680555555556,0.625,0.652777777778,0.652777777778
mult_KNN,0.722222222222,0.694444444444,0.680555555556,0.597222222222,0.680555555556,0.722222222222,0.666666666667,0.694444444444,0.736111111111,0.736111111111,0.736111111111,0.736111111111,0.666666666667,0.652777777778,0.680555555556,0.638888888889,0.652777777778,0.652777777778,0.638888888889,0.638888888889,0.638888888889,0.597222222222,0.597222222222,0.597222222222
mult_SVC,0.611111111111,0.611111111111,0.583333333333,0.611111111111,0.680555555556,0.680555555556,0.680555555556,0.680555555556,0.736111111111,0.736111111111,0.736111111111,0.736111111111,0.666666666667,0.652777777778,0.666666666667,0.652777777778,0.625,0.597222222222,0.583333333333,0.583333333333,0.625,0.611111111111,0.597222222222,0.597222222222
mult_NB,0.625,0.638888888889,0.625,0.666666666667,0.555555555556,0.555555555556,0.569444444444,0.597222222222,0.458333333333,0.444444444444,0.458333333333,0.458333333333,0.597222222222,0.555555555556,0.597222222222,0.569444444444,0.611111111111,0.611111111111,0.638888888889,0.611111111111,0.583333333333,0.583333333333,0.611111111111,0.583333333333
,,,,,,,,,,,,,,,,,,,,,,,,
,A,B,C,D,E,F,,,,,,,,,,,,,,,,,,
mult_RF,66.67%,75.00%,77.78%,73.61%,68.06%,68.06%,,71.53%,,,,,,,,,,,,,,,,
mult_KNN,72.22%,72.22%,73.61%,68.06%,65.28%,63.89%,,69.21%,,,,,,,,,,,,,,,,
mult_SVC,61.11%,68.06%,73.61%,66.67%,62.50%,62.50%,,65.74%,,,,,,,,,,,,,,,,
mult_NB,66.67%,59.72%,45.83%,59.72%,63.89%,61.11%,,59.49%,,,,,,,,,,,,,,,,
