,A+time,A+time_pops,A+time_temp/cond,A+time_pops_temp/cond,B+time,B+time_pops,B+time_temp/cond,B+time_pops_temp/cond,C+time,C+time_pops,C+time_temp/cond,C+time_pops_temp/cond,D+time,D+time_pops,D+time_temp/cond,D+time_pops_temp/cond,E+time,E+time_pops,E+time_temp/cond,E+time_pops_temp/cond,F+time,F+time_pops,F+time_temp/cond,F+time_pops_temp/cond
mult_RF,0.640979020979,0.61972027972,0.565594405594,0.61006993007,0.353286713287,0.39041958042,0.345314685315,0.368811188811,0.274825174825,0.273566433566,0.273566433566,0.240839160839,0.474965034965,0.442097902098,0.425874125874,0.466573426573,0.446433566434,0.440559440559,0.424195804196,0.418321678322,0.376447552448,0.324755244755,0.346573426573,0.347832167832
mult_KNN,0.524475524476,0.521958041958,0.514405594406,0.476643356643,0.37006993007,0.331468531469,0.353286713287,0.301258741259,0.283636363636,0.267692307692,0.243356643357,0.230769230769,0.461538461538,0.485034965035,0.468251748252,0.445594405594,0.433846153846,0.424615384615,0.402797202797,0.399440559441,0.346573426573,0.343216783217,0.334825174825,0.32979020979
mult_SVR,0.699891235457,0.689031542815,0.726198232771,0.725270622975,0.392853678968,0.382503407219,0.364932479356,0.360438752157,0.263082697149,0.264606344634,0.269756417968,0.267237084999,0.474063287191,0.458596200721,0.47034332932,0.446125809447,0.407924540191,0.413240930826,0.391654551327,0.399076626064,0.377409642623,0.381746594305,0.382981941459,0.37793553624
mult_KR,0.55006771899,0.527346851015,0.590953421028,0.562139074291,0.382820754203,0.375069801887,0.368535864591,0.353456247637,0.278573422962,0.281486058134,0.27829019556,0.278765565274,0.514093439419,0.48025814392,0.481033512082,0.459789242028,0.439642045775,0.433752996695,0.415452404744,0.412988056275,0.387082992676,0.387784934089,0.403159710837,0.394762735334
