,mult_SVC,mult_KNN,mult_RF,mult_NB
+time,0.6458333333333334,0.6782407407407407,0.6875,0.5717592592592593
+time_pops,0.6458333333333334,0.6898148148148148,0.7083333333333334,0.5740740740740741
+time_temp/cond,0.6458333333333334,0.6574074074074074,0.6828703703703703,0.5763888888888888
+time_pops_temp/cond,0.6458333333333334,0.6365740740740741,0.6805555555555556,0.5740740740740741
