CoF,Random Forest,KNN,SVM,Bayes classifier,Deep Network,Average
1,68.74833333333333,68.98166666666667,65.51,57.17499999999999,71.99166666666666,66.48133333333334
2,69.90666666666668,67.82333333333334,64.81333333333335,57.405,70.83166666666666,66.156
3,67.82666666666667,65.04666666666667,66.66499999999999,57.63666666666666,73.61,66.15700000000001
4,67.82333333333334,64.11833333333333,65.97,57.405,73.84166666666667,65.83166666666666
