,A+time,A+time_pops,A+time_temp/cond,A+time_pops_temp/cond,B+time,B+time_pops,B+time_temp/cond,B+time_pops_temp/cond,C+time,C+time_pops,C+time_temp/cond,C+time_pops_temp/cond,D+time,D+time_pops,D+time_temp/cond,D+time_pops_temp/cond,E+time,E+time_pops,E+time_temp/cond,E+time_pops_temp/cond,F+time,F+time_pops,F+time_temp/cond,F+time_pops_temp/cond
mult_RF,66.67%,58.33%,63.89%,59.72%,68.06%,66.67%,63.89%,68.06%,76.39%,72.22%,68.06%,73.61%,68.06%,76.39%,70.83%,73.61%,77.78%,76.39%,72.22%,76.39%,65.28%,66.67%,65.28%,63.89%
mult_KNN,58.33%,55.56%,56.94%,58.33%,62.50%,66.67%,59.72%,62.50%,72.22%,70.83%,69.44%,68.06%,68.06%,69.44%,70.83%,66.67%,75.00%,70.83%,70.83%,66.67%,68.06%,69.44%,63.89%,66.67%
mult_SVC,54.17%,52.78%,50.00%,52.78%,69.44%,69.44%,68.06%,68.06%,70.83%,70.83%,72.22%,70.83%,68.06%,68.06%,68.06%,68.06%,70.83%,72.22%,73.61%,72.22%,63.89%,66.67%,63.89%,63.89%
mult_NB,69.44%,69.44%,72.22%,68.06%,59.72%,62.50%,62.50%,63.89%,58.33%,58.33%,58.33%,62.50%,66.67%,69.44%,66.67%,68.06%,59.72%,58.33%,61.11%,56.94%,58.33%,62.50%,59.72%,59.72%
,,,,,,,,,,,,,,,,,,,,,,,,
,A,B,C,D,E,F,,,,,,,,,,,,,,,,,,
mult_RF,66.67%,68.06%,76.39%,76.39%,77.78%,66.67%,71.99%,,,,,,,,,,,,,,,,,
mult_KNN,58.33%,66.67%,72.22%,70.83%,75.00%,69.44%,68.75%,,,,,,,,,,,,,,,,,
mult_SVC,54.17%,69.44%,72.22%,68.06%,73.61%,66.67%,67.36%,,,,,,,,,,,,,,,,,
mult_NB,72.22%,63.89%,62.50%,69.44%,61.11%,62.50%,65.28%,,,,,,,,,,,,,,,,,
