,A+time,A+time_pops,A+time_temp/cond,A+time_pops_temp/cond,B+time,B+time_pops,B+time_temp/cond,B+time_pops_temp/cond,C+time,C+time_pops,C+time_temp/cond,C+time_pops_temp/cond,D+time,D+time_pops,D+time_temp/cond,D+time_pops_temp/cond,E+time,E+time_pops,E+time_temp/cond,E+time_pops_temp/cond,F+time,F+time_pops,F+time_temp/cond,F+time_pops_temp/cond
mult_RF,69.44%,62.50%,69.44%,55.56%,72.22%,69.44%,70.83%,66.67%,72.22%,75.00%,72.22%,73.61%,72.22%,69.44%,69.44%,73.61%,77.78%,73.61%,73.61%,77.78%,65.28%,62.50%,66.67%,63.89%
mult_KNN,58.33%,55.56%,55.56%,52.78%,62.50%,65.28%,65.28%,62.50%,72.22%,69.44%,66.67%,69.44%,68.06%,70.83%,72.22%,70.83%,75.00%,72.22%,79.17%,73.61%,68.06%,63.89%,69.44%,63.89%
mult_SVC,51.39%,52.78%,54.17%,54.17%,70.83%,69.44%,66.67%,66.67%,70.83%,70.83%,70.83%,70.83%,68.06%,68.06%,68.06%,68.06%,72.22%,73.61%,70.83%,70.83%,63.89%,65.28%,65.28%,65.28%
mult_NB,69.44%,69.44%,72.22%,69.44%,59.72%,59.72%,62.50%,62.50%,58.33%,56.94%,58.33%,61.11%,66.67%,69.44%,68.06%,68.06%,59.72%,59.72%,59.72%,56.94%,58.33%,59.72%,59.72%,56.94%
,,,,,,,,,,,,,,,,,,,,,,,,
,A,B,C,D,E,F,,,,,,,,,,,,,,,,,,
mult_RF,69.44%,72.22%,75.00%,73.61%,77.78%,66.67%,72.45%,,,,,,,,,,,,,,,,,
mult_KNN,58.33%,65.28%,72.22%,72.22%,79.17%,69.44%,69.44%,,,,,,,,,,,,,,,,,
mult_SVC,54.17%,70.83%,70.83%,68.06%,73.61%,65.28%,67.13%,,,,,,,,,,,,,,,,,
mult_NB,72.22%,62.50%,61.11%,69.44%,59.72%,59.72%,64.12%,,,,,,,,,,,,,,,,,
