A,B,C,D,E,F,Apop,Cpop,Total users,Temperature,Conditions,Time index
10.6,1.6,5.6,2.2,2.6,6.8,0.0,0.0,29.4,29.0,2.0,68
14.4,3.0,1.8,3.4,3.6,2.6,0.17608569766357063,0.0,28.8,29.0,2.6,69
12.8,2.4,2.0,2.2,2.4,1.2,0.8804284883178533,0.0,23.0,29.0,3.0,70
12.4,1.6,1.2,2.0,1.2,1.2,0.8804284883178533,0.11401322250379023,19.6,29.0,3.0,71
12.6,2.8,2.4,2.6,1.6,4.2,0.8804284883178533,0.5700661125189511,26.2,29.0,3.0,72
14.8,1.8,1.4,3.6,3.6,4.4,0.8804284883178533,0.5700661125189511,29.6,29.0,3.0,73
17.0,1.4,0.2,2.2,4.4,5.2,0.8804284883178533,0.5700661125189511,30.4,29.0,3.0,74
16.0,2.0,1.4,4.0,2.8,4.6,0.8804284883178533,0.5700661125189511,30.8,28.4,3.0,75
14.2,1.0,2.4,3.2,2.2,2.6,0.8556007766861402,0.5700661125189511,25.6,28.0,3.0,76
11.4,1.4,1.8,2.6,2.2,2.2,0.8183592092385709,0.5700661125189511,21.6,28.0,1.8,77
11.4,1.4,1.6,2.4,0.8,2.6,0.8183592092385709,0.5700661125189511,20.2,28.0,1.0,78
11.8,0.6,1.4,1.4,0.4,2.6,0.8183592092385709,0.5711047453929592,18.2,27.4,1.6,79
10.2,1.4,1.0,3.2,0.6,3.4,0.8183592092385709,0.5752592768889914,19.8,27.0,2.0,80
11.6,2.2,2.0,1.8,0.8,4.6,0.8183592092385709,0.5752592768889914,23.0,27.0,0.8,81
11.2,2.6,2.8,3.4,1.8,1.8,0.8183592092385709,0.5752592768889914,23.6,27.0,0.0,82
6.2,2.0,2.2,2.2,2.8,1.4,0.8274613431468957,0.5752592768889914,16.8,25.8,0.0,83
6.2,1.8,1.4,2.8,1.2,3.2,0.8638698787801952,0.6480602381820514,16.6,25.0,0.0,84
1.4,1.2,1.2,1.6,0.8,1.0,0.8638698787801952,0.9392640833542918,7.2,21.4,0.6,85
2.6,0.8,1.4,1.4,0.0,0.4,0.8638698787801952,0.9392640833542918,6.6,19.0,1.0,86
5.0,1.0,0.6,0.6,0.6,0.4,0.8638698787801952,0.9392640833542918,8.2,18.4,0.4,87
2.6,0.2,0.6,1.2,0.2,0.8,0.8638698787801952,0.9392640833542918,5.6,18.0,0.0,88
2.0,0.0,0.0,1.0,1.8,0.6,0.8638698787801952,0.9514112666834335,5.4,18.0,0.0,89
0.8,0.0,0.2,0.0,0.2,0.4,0.8638698787801952,0.9999999999999998,1.6,18.0,0.0,90
0.0,0.2,0.0,0.0,0.2,0.6,0.18549444448816882,0.9999999999999998,1.0,18.0,0.0,91
0.0,0.0,0.0,0.0,0.0,0.2,0.927472222440844,0.9999999999999998,0.2,18.0,0.0,92
0.0,0.0,0.0,0.0,0.2,0.2,0.927472222440844,0.9999999999999998,0.4,18.0,0.0,93
0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,18.0,0.0,94
0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.8,18.0,0.0,95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,1.8,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,17
0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,17.0,3.0,18
