,A+time,A+time_pops,A+time_temp/cond,A+time_pops_temp/cond,B+time,B+time_pops,B+time_temp/cond,B+time_pops_temp/cond,C+time,C+time_pops,C+time_temp/cond,C+time_pops_temp/cond,D+time,D+time_pops,D+time_temp/cond,D+time_pops_temp/cond,E+time,E+time_pops,E+time_temp/cond,E+time_pops_temp/cond,F+time,F+time_pops,F+time_temp/cond,F+time_pops_temp/cond
mult_RF,58.33%,65.28%,59.72%,56.94%,69.44%,68.06%,68.06%,65.28%,75.00%,77.78%,72.22%,69.44%,76.39%,70.83%,73.61%,70.83%,79.17%,73.61%,76.39%,76.39%,65.28%,59.72%,68.06%,62.50%
mult_KNN,58.33%,52.78%,56.94%,52.78%,62.50%,66.67%,65.28%,63.89%,72.22%,73.61%,69.44%,72.22%,68.06%,69.44%,70.83%,70.83%,75.00%,72.22%,75.00%,69.44%,68.06%,65.28%,66.67%,61.11%
mult_SVC,54.17%,52.78%,54.17%,52.78%,70.83%,69.44%,68.06%,68.06%,70.83%,70.83%,70.83%,69.44%,68.06%,68.06%,68.06%,69.44%,73.61%,70.83%,72.22%,70.83%,65.28%,63.89%,63.89%,65.28%
mult_NB,69.44%,69.44%,72.22%,69.44%,59.72%,61.11%,63.89%,62.50%,58.33%,58.33%,58.33%,63.89%,66.67%,65.28%,68.06%,63.89%,59.72%,56.94%,58.33%,56.94%,58.33%,59.72%,59.72%,56.94%
,,,,,,,,,,,,,,,,,,,,,,,,
,A,B,C,D,E,F,,,,,,,,,,,,,,,,,,
mult_RF,65.28%,69.44%,77.78%,76.39%,79.17%,68.06%,72.69%,,,,,,,,,,,,,,,,,
mult_KNN,58.33%,66.67%,73.61%,70.83%,75.00%,68.06%,68.75%,,,,,,,,,,,,,,,,,
mult_SVC,54.17%,70.83%,70.83%,69.44%,73.61%,65.28%,67.36%,,,,,,,,,,,,,,,,,
mult_NB,72.22%,63.89%,63.89%,68.06%,59.72%,59.72%,64.58%,,,,,,,,,,,,,,,,,
