,A+time,A+time_pops,A+time_temp/cond,A+time_pops_temp/cond,B+time,B+time_pops,B+time_temp/cond,B+time_pops_temp/cond,C+time,C+time_pops,C+time_temp/cond,C+time_pops_temp/cond,D+time,D+time_pops,D+time_temp/cond,D+time_pops_temp/cond,E+time,E+time_pops,E+time_temp/cond,E+time_pops_temp/cond,F+time,F+time_pops,F+time_temp/cond,F+time_pops_temp/cond
mult_RF,61.11%,63.89%,62.50%,56.94%,68.06%,68.06%,70.83%,65.28%,73.61%,72.22%,75.00%,70.83%,69.44%,73.61%,73.61%,75.00%,76.39%,77.78%,72.22%,70.83%,66.67%,68.06%,65.28%,63.89%
mult_KNN,58.33%,58.33%,56.94%,58.33%,62.50%,66.67%,62.50%,62.50%,72.22%,70.83%,70.83%,70.83%,68.06%,70.83%,72.22%,70.83%,75.00%,72.22%,73.61%,69.44%,68.06%,66.67%,68.06%,63.89%
mult_SVC,58.33%,52.78%,52.78%,50.00%,70.83%,70.83%,68.06%,68.06%,70.83%,70.83%,70.83%,70.83%,68.06%,68.06%,68.06%,68.06%,72.22%,75.00%,73.61%,72.22%,63.89%,66.67%,63.89%,61.11%
mult_NB,69.44%,66.67%,72.22%,68.06%,59.72%,61.11%,61.11%,65.28%,58.33%,58.33%,59.72%,61.11%,66.67%,69.44%,68.06%,68.06%,59.72%,58.33%,59.72%,61.11%,58.33%,55.56%,59.72%,56.94%
,,,,,,,,,,,,,,,,,,,,,,,,
,A,B,C,D,E,F,,,,,,,,,,,,,,,,,,
mult_RF,63.89%,70.83%,75.00%,75.00%,77.78%,68.06%,71.76%,,,,,,,,,,,,,,,,,
mult_KNN,58.33%,66.67%,72.22%,72.22%,75.00%,68.06%,68.75%,,,,,,,,,,,,,,,,,
mult_SVC,58.33%,70.83%,70.83%,68.06%,75.00%,66.67%,68.29%,,,,,,,,,,,,,,,,,
mult_NB,72.22%,65.28%,61.11%,69.44%,61.11%,59.72%,64.81%,,,,,,,,,,,,,,,,,
