A,B,C,D,E,F,Apop,Bpop,Total users,Temperature,Conditions,Time index
0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,26.0,2.0,52
0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,26.0,2.0,53
0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,2.6666666666666665,26.0,2.0,54
0.0,0.0,1.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1.6666666666666667,26.0,2.0,55
0.3333333333333333,0.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.0,3.0,26.0,2.0,56
0.3333333333333333,0.0,1.0,0.0,1.6666666666666667,3.0,0.0,0.0,6.0,26.666666666666668,2.0,57
0.3333333333333333,0.3333333333333333,1.0,0.0,2.0,6.333333333333333,0.0,0.0,10.0,27.0,2.0,58
1.3333333333333333,0.0,0.3333333333333333,1.0,1.6666666666666667,5.333333333333333,0.0,0.0,9.666666666666666,27.0,2.0,59
4.333333333333333,1.3333333333333333,2.3333333333333335,4.666666666666667,2.3333333333333335,1.6666666666666667,0.0,0.0,16.666666666666668,27.0,2.0,60
9.0,3.0,3.6666666666666665,3.3333333333333335,3.6666666666666665,4.333333333333333,0.0,0.0,27.0,27.666666666666668,2.0,61
13.333333333333334,3.3333333333333335,1.6666666666666667,2.6666666666666665,3.3333333333333335,2.6666666666666665,0.0,0.0,27.0,28.0,2.0,62
9.333333333333334,2.6666666666666665,2.3333333333333335,1.6666666666666667,3.3333333333333335,2.6666666666666665,0.0,0.0,22.0,28.0,2.6666666666666665,63
10.666666666666666,3.3333333333333335,4.0,2.0,4.333333333333333,3.6666666666666665,0.0,0.0,28.0,28.0,3.0,64
14.0,2.3333333333333335,3.3333333333333335,5.0,5.666666666666667,3.6666666666666665,0.0,0.0,34.0,28.0,3.0,65
13.666666666666666,3.0,3.6666666666666665,3.0,5.0,3.6666666666666665,0.0,0.0,32.0,28.0,3.0,66
9.666666666666666,5.333333333333333,4.333333333333333,4.333333333333333,1.6666666666666667,3.6666666666666665,0.0,0.0,29.0,28.666666666666668,2.3333333333333335,67
13.666666666666666,7.333333333333333,3.3333333333333335,7.0,2.0,3.3333333333333335,0.0,0.0,36.666666666666664,29.0,2.0,68
15.666666666666666,2.6666666666666665,4.0,3.6666666666666665,5.0,4.333333333333333,0.29347616277261773,0.0,35.333333333333336,29.0,2.6666666666666665,69
16.333333333333332,2.3333333333333335,3.3333333333333335,1.3333333333333333,3.6666666666666665,3.0,0.8804284883178531,0.0,30.0,29.0,3.0,70
15.333333333333334,1.6666666666666667,3.0,1.6666666666666667,2.3333333333333335,2.0,0.8804284883178531,0.19002203750631705,26.0,29.0,3.0,71
15.0,3.3333333333333335,3.6666666666666665,5.0,3.6666666666666665,2.0,0.8804284883178531,0.5700661125189511,32.666666666666664,29.0,3.0,72
18.666666666666668,2.6666666666666665,5.0,6.0,2.6666666666666665,5.333333333333333,0.8804284883178531,0.5700661125189511,40.333333333333336,29.0,3.0,73
21.0,0.3333333333333333,3.3333333333333335,7.333333333333333,1.6666666666666667,5.0,0.8804284883178531,0.5700661125189511,38.666666666666664,29.0,3.0,74
19.0,1.6666666666666667,5.333333333333333,5.666666666666667,3.3333333333333335,4.0,0.8804284883178531,0.5700661125189511,39.0,28.333333333333332,3.0,75
16.666666666666668,3.0,4.333333333333333,3.3333333333333335,1.3333333333333333,3.0,0.839048968931665,0.5700661125189511,31.666666666666668,28.0,3.0,76
14.333333333333334,2.0,3.6666666666666665,2.6666666666666665,2.3333333333333335,3.0,0.8183592092385709,0.5700661125189511,28.0,28.0,1.6666666666666667,77
15.0,2.6666666666666665,4.666666666666667,2.6666666666666665,2.0,1.0,0.8183592092385709,0.5700661125189511,28.0,28.0,1.0,78
17.0,2.3333333333333335,2.0,3.3333333333333335,1.0,0.6666666666666666,0.8183592092385709,0.5717971673089646,26.333333333333332,27.333333333333332,1.6666666666666667,79
15.666666666666666,1.3333333333333333,3.0,4.333333333333333,2.3333333333333335,1.0,0.8183592092385709,0.5752592768889914,27.666666666666668,27.0,2.0,80
14.333333333333334,1.6666666666666667,2.3333333333333335,6.0,3.3333333333333335,1.3333333333333333,0.8183592092385709,0.5752592768889914,29.0,27.0,0.6666666666666666,81
14.333333333333334,4.333333333333333,4.666666666666667,2.3333333333333335,4.0,2.6666666666666665,0.8183592092385709,0.5752592768889914,32.333333333333336,27.0,0.0,82
8.333333333333334,3.0,3.6666666666666665,2.0,2.3333333333333335,3.3333333333333335,0.8335294324191124,0.5752592768889914,22.666666666666668,25.666666666666668,0.0,83
8.666666666666666,2.3333333333333335,4.0,3.6666666666666665,2.6666666666666665,2.0,0.8638698787801952,0.6965942123774248,23.333333333333332,25.0,0.0,84
1.6666666666666667,1.6666666666666667,3.0,1.3333333333333333,2.0,1.3333333333333333,0.8638698787801952,0.9392640833542917,11.0,21.0,0.6666666666666666,85
3.0,2.3333333333333335,1.6666666666666667,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.8638698787801952,0.9392640833542917,9.0,19.0,1.0,86
6.0,0.6666666666666666,1.0,0.6666666666666666,1.6666666666666667,1.0,0.8638698787801952,0.9392640833542917,11.0,18.333333333333332,0.3333333333333333,87
3.3333333333333335,0.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,0.0,0.8638698787801952,0.9392640833542917,6.333333333333333,18.0,0.0,88
